ID,Date,IUCR,CrimeType,Location Description,Arrest,Domestic,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,OnlyDate,Time,time_hour,hourofday,sin_time,cos_time,XAxis,YAxis
11859013,10/12/2019 10:50:00 PM,460,BATTERY,SIDEWALK,1,0,42.0,8.0,08B,2019,10/19/2019 04:04:21 PM,41.889751946,-87.631072891,4446.0,37.0,670.0,36.0,55.0,14.0,73.0,2019-10-12,10:50:00 PM,22:50:00,22,-0.2697967711570252,0.9629172873477991,1175463.0,1903198.0
11859068,10/12/2019 10:49:00 PM,3710,INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT/GARAGE(NON.RESID.),1,0,37.0,25.0,24,2019,10/19/2019 04:04:21 PM,41.909664252,-87.742728815,22615.0,26.0,62.0,45.0,2.0,6.0,195.0,2019-10-12,10:49:00 PM,22:49:00,22,-0.2697967711570252,0.9629172873477991,1145011.0,1910225.0
11859062,10/12/2019 10:45:00 PM,1320,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),0,0,9.0,50.0,14,2019,10/19/2019 04:04:21 PM,41.69055077,-87.60089996100002,21861.0,47.0,601.0,43.0,19.0,10.0,265.0,2019-10-12,10:45:00 PM,22:45:00,22,-0.2697967711570252,0.9629172873477991,1184297.0,1830679.0
11861970,10/12/2019 10:44:00 PM,610,BURGLARY,APARTMENT,0,0,5.0,41.0,05,2019,10/19/2019 04:04:21 PM,41.794481981,-87.58539015299999,22260.0,8.0,502.0,33.0,60.0,24.0,132.0,2019-10-12,10:44:00 PM,22:44:00,22,-0.2697967711570252,0.9629172873477991,1188204.0,1868587.0
11859075,10/12/2019 10:31:00 PM,860,THEFT,DEPARTMENT STORE,1,0,37.0,25.0,06,2019,10/19/2019 04:04:21 PM,41.909664252,-87.742728815,22615.0,26.0,62.0,45.0,2.0,6.0,195.0,2019-10-12,10:31:00 PM,22:31:00,22,-0.2697967711570252,0.9629172873477991,1145011.0,1910225.0
11859001,10/12/2019 10:30:00 PM,31,ROBBERY,SIDEWALK,0,0,6.0,68.0,03,2019,10/19/2019 04:04:21 PM,41.768402925,-87.643255778,21559.0,66.0,479.0,32.0,11.0,17.0,214.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1172501.0,1858952.0
11859125,10/12/2019 10:30:00 PM,820,THEFT,STREET,0,0,27.0,24.0,06,2019,10/19/2019 04:04:21 PM,41.888996789000004,-87.65194519100002,14917.0,29.0,522.0,46.0,44.0,15.0,76.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1169782.0,1902877.0
11859038,10/12/2019 10:30:00 PM,51,ASSAULT,STREET,0,0,5.0,42.0,04A,2019,10/19/2019 04:04:21 PM,41.773280699000004,-87.591480096,22260.0,39.0,416.0,33.0,60.0,18.0,206.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1186610.0,1860847.0
11859171,10/12/2019 10:30:00 PM,460,BATTERY,SIDEWALK,0,0,3.0,33.0,08B,2019,10/19/2019 04:04:21 PM,41.852889466,-87.62187049299999,21194.0,34.0,193.0,10.0,40.0,22.0,148.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1178080.0,1889786.0
11859388,10/12/2019 10:30:00 PM,610,BURGLARY,OTHER,0,0,5.0,43.0,05,2019,10/19/2019 04:04:21 PM,41.765039197,-87.57627519,22538.0,39.0,453.0,33.0,24.0,18.0,89.0,2019-10-12,10:30:00 PM,22:30:00,22,-0.2697967711570252,0.9629172873477991,1190784.0,1857880.0
